25674,NA,Maybe,0.049935,0.000000,0.000000,0.246548,0.265762,0.445415
95497,NA,No,0.049935,0.000000,0.000000,0.849913,0.116438,0.025655
100559,NA,No,0.049935,0.000000,0.000000,0.423207,0.192241,0.216097
103149,No,NA,0.528239,0.447000,0.049320,0.423207,0.192241,0.216097
104041,No,NA,0.616153,0.274637,0.061343,0.423207,0.192241,0.216097
304252,NA,Maybe,0.616153,0.274637,0.061343,0.210541,0.472099,0.191201
453053,NA,No,0.616153,0.274637,0.061343,0.730796,0.202415,0.087312
514266,NA,Maybe,0.616153,0.274637,0.061343,0.044236,0.662829,0.204424
514309,NA,No,0.616153,0.274637,0.061343,0.765698,0.221397,0.045117
566481,Maybe,Maybe,0.276828,0.451688,0.196079,0.193138,0.521950,0.182955
647926,NA,Maybe,0.276828,0.451688,0.196079,0.065671,0.438695,0.387798
713034,NA,No,0.276828,0.451688,0.196079,0.801158,0.140705,0.039267
717368,No,NA,0.509346,0.457569,0.030773,0.801158,0.140705,0.039267
1116478,No,NA,0.835785,0.172333,0.014186,0.801158,0.140705,0.039267
1130238,NA,No,0.835785,0.172333,0.014186,0.761065,0.240148,0.024612
1330218,NA,No,0.835785,0.172333,0.014186,0.393609,0.376659,0.116062
1530058,Maybe,Maybe,0.054935,0.546317,0.475576,0.058881,0.663354,0.220935
1734502,No,NA,0.557375,0.350597,0.078872,0.058881,0.663354,0.220935
1735811,No,NA,0.543264,0.364026,0.076243,0.058881,0.663354,0.220935
1738207,NA,No,0.543264,0.364026,0.076243,0.709460,0.181254,0.066902
2735784,NA,No,0.543264,0.364026,0.076243,0.778052,0.154020,0.013129
3153765,No,NA,0.725849,0.254811,0.032828,0.778052,0.154020,0.013129
4491635,NA,Maybe,0.725849,0.254811,0.032828,0.230733,0.191554,0.573982
8319951,No,NA,0.752364,0.241200,0.038879,0.230733,0.191554,0.573982
9454828,Maybe,NA,0.201908,0.304969,0.633662,0.230733,0.191554,0.573982
